ID,STRIDE Category,Threat Title,Affected Components,Asset,Attack Scenario Summary,Impact Confidentiality,Impact Integrity,Impact Availability,Likelihood,Severity,OWASP Mapping,Priority,Owner,Status
TM-016,Repudiation,Lack of User Action Logging (Non-Admin),CRM API | Logging System,User activity audit trail,User exfiltrates data but no logs exist to prove it,Indirect,Low,Low,Medium,LOW-MED,A09:2021 Logging Failures,P2,Application Team,Open
TM-017,Information Disclosure,BOLA - Cross-Tenant Data Access,CRM API,Tenant data (all CRM records),User from Tenant A accesses Tenant B resources by guessing IDs,CRITICAL,High,Low,High,HIGH,API1:2023 BOLA,P0,Application Team,Open
TM-018,Information Disclosure,Excessive Data Exposure in API Responses,CRM API,Sensitive user data (PII),API returns unnecessary fields like password_hash or internal IDs,Medium-High,Low,Low,High,MEDIUM-HIGH,API3:2023 Excessive Data,P1,Application Team,Open
TM-019,Information Disclosure,Object Storage Bucket Misconfiguration,Object Storage (S3),File attachments,S3 bucket accidentally public; all files exposed,CRITICAL,Low,Low,Medium,HIGH,A05:2021 Misconfiguration,P0,Platform Team,Open
TM-020,Information Disclosure,Sensitive Data in Application Logs,CRM API | Logging System,PII | Credentials | Tokens,Logs contain passwords or tokens; accessible to unauthorized parties,High,Low,Low,High,MEDIUM-HIGH,A09:2021 Logging Failures,P1,Application Team,Open
TM-021,Information Disclosure,Error Messages Exposing Internal Details,CRM API | Web Client,System internals,Verbose error messages reveal database schema and stack traces,Low-Med,Low,Low,Medium,MEDIUM,A05:2021 Misconfiguration,P2,Application Team,Open
TM-022,Information Disclosure,IDOR in File Downloads,CRM API | Object Storage,File attachments,User downloads files belonging to other users/tenants by guessing IDs,High,Low,Low,High,HIGH,API1:2023 BOLA,P0,Application Team,Open
TM-023,Information Disclosure,Timing Attack Leaking User Existence,CRM API (login/password reset),User account enumeration,Response time differences reveal valid email addresses,Low,Low,Low,Medium,LOW,A07:2021 Auth Failures,P2,Platform Team,Open
TM-024,Information Disclosure,Cache Poisoning Leading to Data Leak,Redis Cache | CRM API,Cached user data,Attacker poisons cache with cross-tenant data via key collision,High,Medium,Low,Low-Med,MEDIUM-HIGH,A08:2021 Integrity Failures,P1,Application Team,Open
TM-025,Information Disclosure,Verbose API Responses Exposing Business Logic,CRM API,Business logic internals,API exposes internal state revealing approval thresholds and rules,Medium,Medium,Low,Medium,MEDIUM,API3:2023 Excessive Data,P2,Application Team,Open
TM-026,Information Disclosure,Unencrypted Backup Exposure,Database Backups | Object Storage,All CRM data,Database backups not encrypted; attacker gains access and restores DB,CRITICAL,Low,Low,Low,HIGH,A02:2021 Crypto Failures,P1,Platform Team,Open
TM-027,Denial of Service,Resource Exhaustion via Expensive Queries,CRM API | PostgreSQL,System availability,Attacker sends complex queries without pagination exhausting database,Low,Low,High,Medium,MEDIUM-HIGH,API4:2023 Resource Consumption,P1,Application Team,Open
TM-028,Denial of Service,File Upload Abuse (Storage Exhaustion),CRM API | Object Storage,Storage capacity | Costs,Attacker uploads thousands of max-size files exhausting storage quota,Low,Low,High,Medium,MEDIUM,API4:2023 Resource Consumption,P1,Application + Platform,Open
TM-029,Denial of Service,Queue Flooding Attack,Message Queue | Worker Service,Background job processing,Attacker enqueues millions of messages overwhelming workers,Low,Low,High,Medium,MEDIUM,API4:2023 Resource Consumption,P1,Application Team,Open
TM-030,Denial of Service,Regular Expression Denial of Service (ReDoS),CRM API (input validation),API availability,Vulnerable regex causes catastrophic backtracking exhausting threads,Low,Low,High,Low,MEDIUM,A05:2021 Misconfiguration,P2,Application Team,Open
TM-031,Denial of Service,Distributed Denial of Service (DDoS),API Gateway | WAF | Infrastructure,System availability,Attacker uses botnet to send millions of requests per second,Low,Low,CRITICAL,Medium,HIGH,N/A,P1,Platform Team,Open
TM-032,Elevation of Privilege,Privilege Escalation via RBAC Misconfiguration,CRM API | Authorization System,User roles | Admin functions,User grants themselves admin role via unprotected endpoint,High,High,Medium,Medium,HIGH,A01:2021 Broken Access,P0,Application Team,Open
TM-033,Elevation of Privilege,SSRF via Import from URL Feature,Worker Service,Internal network resources | Cloud metadata,Attacker fetches AWS metadata endpoint stealing credentials,High,High,Medium,Medium,HIGH,A10:2021 SSRF,P0,Application Team,Open
TM-034,Elevation of Privilege,Insecure Admin Impersonation Feature,Admin Portal | CRM API,Tenant data | User sessions,Admin impersonates users without MFA or audit trail,High,High,Low,Low-Med,HIGH,A01:2021 Broken Access,P0,Application + Security,Open
TM-035,Elevation of Privilege,Privilege Escalation via Webhook Manipulation,CRM API (webhook receiver) | Payment Provider,Subscription status | Billing,Attacker sends fake webhook granting premium features without payment,Low,High,Low,Medium,MEDIUM-HIGH,API10:2023 Unsafe API Consumption,P1,Application Team,Open
